Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Car Parking,Ownership
5887,2,841,0,14,3,2,0,5,3,3,4,4
7974,2,1129,0,6,3,0,0,1,3,1,4,1
2588,2,122,0,4,3,1,0,1,2,2,4,1
6306,2,135,0,5,3,0,0,6,2,0,4,1
4582,2,715,0,6,3,2,0,0,2,1,4,1
3430,2,149,0,4,3,2,0,0,2,1,4,1
4899,2,860,0,5,3,1,1,14,3,0,4,2
2488,2,122,0,3,3,1,0,1,2,2,4,1
6299,2,1270,0,2,3,1,5,0,2,2,4,1
7637,2,1415,0,11,3,2,7,17,3,2,4,4
4660,2,1463,0,5,3,2,0,6,4,2,4,1
8464,2,1994,0,5,3,0,0,1,4,1,4,1
4825,2,793,0,7,0,2,0,1,2,1,4,1
3214,2,1265,0,4,3,1,0,6,2,2,4,1
4215,2,945,0,3,3,2,0,5,2,3,4,1
9544,2,2700,0,4,3,0,4,6,4,1,4,1
4977,2,1002,0,7,0,2,0,1,3,1,4,1
4835,2,1179,0,6,3,2,0,1,2,2,4,1
5444,2,1500,0,3,3,2,2,0,3,3,4,1
2961,2,117,0,3,0,1,0,1,2,2,4,1
5747,2,750,0,5,3,2,0,6,3,1,4,1
4530,2,850,0,12,3,1,2,0,3,1,4,1
4889,2,2250,0,3,3,2,0,6,4,2,4,1
5087,2,789,0,13,0,2,8,0,3,1,4,1
4120,2,820,0,4,3,2,0,5,2,2,4,1
5810,2,156,0,9,3,2,0,0,3,1,4,1
5867,2,57,0,4,3,1,7,17,2,1,4,4
4168,2,882,0,8,0,2,0,1,3,1,4,0
3810,2,91,0,4,3,2,0,0,2,2,4,1
5034,2,860,0,5,3,1,1,14,3,0,4,1
4502,2,700,0,2,3,2,0,0,2,1,4,1
3813,2,400,0,4,3,0,7,17,2,2,4,4
10000,2,2700,0,3,3,0,0,0,4,1,4,1
2837,2,762,0,2,3,0,0,17,2,1,4,1
6667,2,1080,0,2,3,0,7,17,3,1,4,4
4444,2,1125,0,4,3,2,5,17,2,1,4,1
8105,2,1500,0,2,3,0,0,0,3,1,4,1
5522,2,1410,0,1,3,1,2,1,3,2,4,1
10593,2,121,0,3,3,2,1,6,2,3,4,1
3977,2,75,0,3,3,0,0,0,1,1,4,1
6813,2,1908,0,4,3,1,7,17,3,4,4,1
12500,2,80,0,1,0,2,7,17,1,1,4,4
4216,2,1111,0,8,3,2,0,0,3,2,4,1
4027,2,758,0,4,3,2,0,5,2,0,4,1
3803,2,820,0,4,3,2,0,5,2,2,4,1
7434,2,280,0,1,3,2,2,0,4,1,4,1
8048,2,1100,0,4,3,2,4,14,3,1,4,4
